Field,Count
Listing ID,9431
Price per unit,9431
,8976
Condition,8266
UÅ¾itnÃ¡ plocha,7224
Layout,6458
Available from,6355
Floor,4848
Location,4744
EPC,4721
Building construction,3953
Age,3799
Fully furnished,3732
Plot space,3414
Ownership,2915
Plot type,1396
Total floors,1173
Heating,966
Designe,701
Water,670
Reconstruction,533
Poloha domu,478
Plocha nebytovÃ©ho prostoru,274
Sewage,273
Plocha kancelÃ¡Åe,208
Plocha garÃ¡Å¾e,169
Poloha nemovitosti,119
Poloha nebytovÃ©ho prostoru,98
Poloha rekreaÄnÃ­ho objektu,94
Low-energy,70
Wi-fi,25
Name,25
Bedroom,25
Town,25
Crib,25
Sauna,25
Dogs allowed,25
Capacity,25
Swimming pool,25
Fire place,25
Whirlpool,25
Plocha,23
