Raw Characteristics,Parse Success,Listing ID,Price per unit,Location,EPC,Available from,Usable area,Floor,Condition,Layout,Age,Plot space,Total floors,Plot type
"{""Listing ID"": ""758624"", ""Location"": ""The quiet part"", ""EPC"": ""C - Economical"", ""Plocha nebytového prostoru"": ""10m²"", ""Available from"": ""01/04/2025"", ""Price per unit"": ""CZK 500/ m2"", """": ""MHD 3 minutes on foot""}",True,758624,CZK 500/ m2,The quiet part,C - Economical,01/04/2025,,,,,,,,
"{""Listing ID"": ""886164"", ""Layout"": ""2+kk"", ""Fully furnished"": ""Unfurnished"", ""Condition"": ""Very good"", ""Building construction"": ""Brick"", ""Reconstruction"": ""Complete"", ""Price per unit"": ""CZK 290/ m2"", ""Užitná plocha"": ""100m²"", ""Location"": ""The quiet part"", ""Available from"": ""26/05/2025"", ""Floor"": ""1. podlaží z 3"", ""Heating"": ""Gas boiler"", ""Designe"": ""Luxurious"", """": ""MHD 6 minutes on foot""}",True,886164,CZK 290/ m2,The quiet part,,26/05/2025,100m²,1. podlaží z 3,Very good,2+kk,,,,
"{""Listing ID"": ""680209"", ""Layout"": ""2 bedroom"", ""Fully furnished"": ""Unfurnished"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", ""Reconstruction"": ""Bathroom unit"", ""Price per unit"": ""CZK 323/ m2"", ""Užitná plocha"": ""65m²"", ""Location"": ""The quiet part"", ""Available from"": ""15/07/2025"", ""Floor"": ""2. podlaží z 3"", ""Building construction"": ""Brick"", ""Age"": ""Over 50 years"", ""Designe"": ""Standard"", """": ""MHD 0 minutes on foot""}",True,680209,CZK 323/ m2,The quiet part,G - Extremely uneconomical,15/07/2025,65m²,2. podlaží z 3,Very good,2 bedroom,Over 50 years,,,
"{""Listing ID"": ""902867"", ""Layout"": ""3+1"", ""Fully furnished"": ""Unfurnished"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""D - Less economical"", ""Reconstruction"": ""Complete"", ""Užitná plocha"": ""69m²"", ""Location"": ""Residences"", ""Available from"": ""07/05/2025"", ""Floor"": ""5. podlaží z 6"", ""Building construction"": ""Prefab concrete"", ""Heating"": ""Central"", ""Price per unit"": ""CZK 70,870/ m2"", """": ""Lift""}",True,902867,"CZK 70,870/ m2",Residences,D - Less economical,07/05/2025,69m²,5. podlaží z 6,Very good,3+1,,,,
"{""Listing ID"": ""903836"", ""Poloha nebytového prostoru"": ""Serial"", ""Available from"": ""13/05/2025"", ""Building construction"": ""Brick"", ""Plocha nebytového prostoru"": ""5m²"", ""Fully furnished"": ""Unfurnished"", ""Condition"": ""New-build"", ""Price per unit"": ""CZK 800/ m2"", """": ""Basement: 5 m²""}",True,903836,CZK 800/ m2,,,13/05/2025,,,New-build,,,,,
"{""Listing ID"": ""883799"", ""Layout"": ""Other"", ""Location"": ""The quiet part"", ""Available from"": ""07/03/2025"", ""Condition"": ""New-build"", ""Building construction"": ""Brick"", ""Price per unit"": ""CZK 78,423/ m2"", ""Užitná plocha"": ""241m²"", ""Poloha domu"": ""Separate"", ""Fully furnished"": ""Unfurnished"", ""Plot space"": ""247m²"", ""Ownership"": ""Personal"", ""EPC"": ""B - Very economical"", """": ""Garage""}",True,883799,"CZK 78,423/ m2",The quiet part,B - Very economical,07/03/2025,241m²,,New-build,Other,,247m²,,
"{""Listing ID"": ""851540"", ""Location"": ""The quiet part"", ""Available from"": ""09/04/2025"", ""Condition"": ""Wrong"", ""EPC"": ""G - Extremely uneconomical"", ""Užitná plocha"": ""25m²"", ""Fully furnished"": ""Unfurnished"", ""Plot space"": ""360m²"", ""Building construction"": ""Wooden"", ""Price per unit"": ""CZK 35,800/ m2"", """": ""MHD 4 minutes on foot""}",True,851540,"CZK 35,800/ m2",The quiet part,G - Extremely uneconomical,09/04/2025,25m²,,Wrong,,,360m²,,
"{""Listing ID"": ""645316"", ""Layout"": ""1 bedroom"", ""Fully furnished"": ""Partly"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""B - Very economical"", ""Reconstruction"": ""Complete"", ""Užitná plocha"": ""40m²"", ""Location"": ""The quiet part"", ""Available from"": ""01/06/2025"", ""Floor"": ""1. podlaží"", ""Building construction"": ""Brick"", ""Heating"": ""Electric boiler"", ""Price per unit"": ""CZK 273/ m2"", """": ""MHD 4 minutes on foot""}",True,645316,CZK 273/ m2,The quiet part,B - Very economical,01/06/2025,40m²,1. podlaží,Very good,1 bedroom,,,,
"{""Listing ID"": ""874805"", ""Poloha nebytového prostoru"": ""Corner"", ""Fully furnished"": ""Unfurnished"", ""Condition"": ""Good"", ""Price per unit"": ""CZK 183/ m2"", ""Plocha nebytového prostoru"": ""30m²"", ""Location"": ""The quiet part"", ""Available from"": ""05/12/2024"", ""Building construction"": ""Brick"", """": ""MHD 1 minute on foot""}",True,874805,CZK 183/ m2,The quiet part,,05/12/2024,,,Good,,,,,
"{""Listing ID"": ""892540"", ""Layout"": ""2+kk"", ""Fully furnished"": ""Partly"", ""Condition"": ""After reconstruction"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", ""Užitná plocha"": ""35m²"", ""Location"": ""Centre"", ""Available from"": ""06/04/2025"", ""Floor"": ""2. podlaží z 2"", ""Building construction"": ""Brick"", ""Price per unit"": ""CZK 90,000/ m2"", """": ""MHD 3 minutes on foot""}",True,892540,"CZK 90,000/ m2",Centre,G - Extremely uneconomical,06/04/2025,35m²,2. podlaží z 2,After reconstruction,2+kk,,,,
