Title,URL,Listing Type,Base Price,Discount,Original Price,Monthly Rent,Service Charges,Utility Charges,Administrative Fee,Refundable Deposit,Raw Characteristics
"Plot to rent• 5500 m² without real estate, Lower Saxony",https://www.bezrealitky.com/properties-flats-houses/903150-nabidka-pronajem-pozemku-winsen,Rent,,,,0.0,,,,,"{""Listing ID"": ""903150"", ""Price per unit"": ""€0/ m2"", ""Plot space"": ""5,500m²"", """": ""MHD 2 minutes on foot""}"
"Office to rent• 136 m² without real estate, Rhineland-Palatinate",https://www.bezrealitky.com/properties-flats-houses/903316-nabidka-pronajem-kancelare-bad-kreuznach,Rent,,,,0.0,,,,,"{""Listing ID"": ""903316"", ""Available from"": ""15/05/2025"", ""Age"": ""Over 50 years"", ""Plocha kanceláře"": ""136m²"", ""Condition"": ""Very good"", ""Price per unit"": ""€0/ m2"", """": ""MHD 1 minute on foot""}"
"Plot to rent• 150 m² without real estateBoschstr.7, , Baden-Württemberg",https://www.bezrealitky.com/properties-flats-houses/903344-nabidka-pronajem-pozemku-boschstr-7-kampffelbach,Rent,,,,0.0,,,,,"{""Listing ID"": ""903344"", ""Plot space"": ""150m²"", ""Available from"": ""03/06/2025"", ""Price per unit"": ""€0/ m2"", """": ""MHD 9 minutes on foot""}"
Plot for sale• 664 m² without real estateVaterstetten Vaterstetten Bayern 85591,https://www.bezrealitky.com/properties-flats-houses/903392-nabidka-prodej-pozemku-vaterstetten,Sale,0.0,,,,,,,,"{""Listing ID"": ""903392"", ""Price per unit"": ""€0/ m2"", ""Plot space"": ""664m²"", """": ""MHD 1 minute on foot""}"
Office to rent• 460 m² without real estateSonnenstraße 3 München München Bayern 80331,https://www.bezrealitky.com/properties-flats-houses/903439-nabidka-pronajem-kancelare-sonnenstrasse-3-munchen,Rent,,,,0.0,,,,,"{""Listing ID"": ""903439"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Plocha kanceláře"": ""460m²"", ""Floor"": ""2. podlaží z 2"", ""Price per unit"": ""€0/ m2"", """": ""Garage""}"
Office to rent• 300 m² without real estateFriedhofstr. 171 Bielefeld Bielefeld Nordrhein-Westfalen 33659,https://www.bezrealitky.com/properties-flats-houses/903441-nabidka-pronajem-kancelare-friedhofstr-171-bielefeld,Rent,,,,0.0,,,,,"{""Listing ID"": ""903441"", ""Available from"": ""04/06/2025"", ""Floor"": ""1. podlaží"", ""Price per unit"": ""€0/ m2"", ""Plocha kanceláře"": ""300m²"", ""Condition"": ""New-build"", ""Age"": ""Over 50 years"", """": ""MHD 3 minutes on foot""}"
"Plot for sale• 800 m² without real estateLangewech, , Schleswig-Holstein",https://www.bezrealitky.com/properties-flats-houses/903467-nabidka-prodej-pozemku-langewech-schwabstedt,Sale,0.0,,,,,,,,"{""Listing ID"": ""903467"", ""Price per unit"": ""€0/ m2"", ""Plot space"": ""800m²"", """": ""MHD 5 minutes on foot""}"
Flat for sale2 bedroom • 61 m² without real estateNydamer Ring 9 Hamburg Rahlstedt Hamburg 22145,https://www.bezrealitky.com/properties-flats-houses/903475-nabidka-prodej-bytu-nydamer-ring-9-hamburg,Rent,,,,,,,,,"{""Listing ID"": ""903475"", ""Layout"": ""2 bedroom"", ""EPC"": ""D - Less economical"", ""Price per unit"": ""€5,393/ m2"", ""Užitná plocha"": ""61m²"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", """": ""MHD 4 minutes on foot""}"
"Plot for sale• 1391 m² without real estate, Brandenburg",https://www.bezrealitky.com/properties-flats-houses/903569-nabidka-prodej-pozemku-werder-havel,Sale,0.0,,,,,,,,"{""Listing ID"": ""903569"", ""Plot space"": ""1,391m²"", ""Available from"": ""03/06/2025"", ""Price per unit"": ""€0/ m2"", """": ""MHD 1 minute on foot""}"
Office to rent• 6500 m² without real estateWissstraße 14-18 Dortmund Mitte Nordrhein-Westfalen 44137,https://www.bezrealitky.com/properties-flats-houses/903582-nabidka-pronajem-kancelare-wissstrasse-14-18-dortmund,Rent,,,,0.0,,,,,"{""Listing ID"": ""903582"", ""Available from"": ""04/06/2025"", ""Floor"": ""1. podlaží z 3"", ""Plocha kanceláře"": ""6,500m²"", ""Condition"": ""After reconstruction"", ""Price per unit"": ""€0/ m2"", """": ""MHD 3 minutes on foot""}"
"Commercial property for sale• 10145 m² without real estateRotheburgstraße 18, , Thuringia",https://www.bezrealitky.com/properties-flats-houses/903591-nabidka-prodej-nebytoveho-prostoru-rotheburgstrasse-18-nordhausen,Sale,0.0,,,,,,,,"{""Listing ID"": ""903591"", ""Plot space"": ""39,876m²"", ""Plocha nebytového prostoru"": ""10,145m²"", ""Price per unit"": ""€0/ m2"", """": ""MHD 3 minutes on foot""}"
